time,avg_Vmem_mV,avg_Na_mM,avg_K_mM,avg_Cl_mM,avg_Ca_mM,avg_H_mM,avg_P_mM
0,0,0,0,0,0,0,0
0.0001,0,0,0,0,0,0,0
0.0301,0,0,0,0,0,0,0
0.0601,0,0,0,0,0,0,0
0.0901,0,0,0,0,0,0,0
0.1201,0,0,0,0,0,0,0
0.1501,0,0,0,0,0,0,0
0.1801,0,0,0,0,0,0,0
0.2101,0,0,0,0,0,0,0
0.2401,0,0,0,0,0,0,0
0.2701,0,0,0,0,0,0,0
