time,avg_Vmem_mV,avg_Na_mM,avg_K_mM,avg_Cl_mM,avg_Ca_mM,avg_H_mM,avg_P_mM
0,0.00265722,1.75904e-06,2.05221e-05,7.29127e-08,2.3738e-11,9.23494e-12,2.49115e-06
5e-05,-0.000777645,8.79127e-08,1.02565e-06,3.64563e-09,1.1863e-12,4.61542e-13,1.24558e-07
0.01005,0.00232441,8.75227e-08,1.0211e-06,3.64563e-09,1.18035e-12,4.59494e-13,1.24557e-07
0.02005,0.00415386,8.71346e-08,1.01657e-06,3.64562e-09,1.17443e-12,4.57457e-13,1.24557e-07
0.03005,0.00254173,8.67485e-08,1.01207e-06,3.64561e-09,1.16854e-12,4.5543e-13,1.24557e-07
0.04005,0.000532529,8.63643e-08,1.00758e-06,3.64561e-09,1.16268e-12,4.53413e-13,1.24557e-07
